Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
0,2,female,10.4,1,2,13.66,S
0,3,male,37.9,0,2,12.55,Q
0,3,male,20.9,0,1,19.73,S
0,3,male,23.2,1,1,45.65,S
0,1,male,21.7,3,1,29.39,C
1,3,female,29.4,0,0,22.53,S
0,3,male,9.3,1,0,29.46,S
0,1,male,21.9,0,0,22.89,S
0,3,male,26.9,1,0,40.09,S
0,3,male,27.9,0,0,10.23,S
0,3,male,51,0,0,28.91,C
0,3,male,30.2,1,0,30.32,S
0,1,male,36.2,0,0,19.28,S
1,3,female,16.4,1,0,39.97,S
0,3,male,39.4,1,0,22.86,S
0,3,male,38.3,1,1,37.73,S
1,1,female,26.1,0,0,35.13,C
0,3,male,34.4,0,0,37.33,S
0,3,male,46,0,0,12.58,S
1,1,female,5.9,0,0,27.19,S
0,3,male,52,0,0,14.11,S
1,1,female,22.5,0,0,61.16,C
0,3,male,28.4,0,0,16.65,S
1,1,female,20,1,0,27.25,S
0,3,male,31.3,0,0,13.53,S
1,1,female,26.3,1,0,66.17,C
0,3,male,46.7,2,0,31.29,S
0,3,male,14.8,1,0,26.14,S
0,3,male,35.9,0,0,26.54,S
0,3,male,23.8,0,0,27.31,Q
0,2,male,28,0,0,47.8,S
0,3,male,24.2,0,0,20.66,S
0,3,male,43.6,2,0,42.66,S
1,1,female,47.5,0,0,60.41,S
0,3,male,28.6,0,0,23.72,S
0,3,male,11.3,1,0,22.21,S
0,3,male,22.6,0,1,23.36,S
0,3,male,20.9,0,0,12.63,S
0,3,male,28.8,0,0,14.43,S
1,2,female,45,0,1,34.34,S
0,3,male,16.8,0,0,33.79,S
1,1,female,31.1,0,0,58.87,C
0,3,male,11.5,0,1,18.75,S
0,3,male,33.8,0,0,14.25,S
0,3,male,42.3,2,0,36.91,S
1,1,female,20.4,0,0,42.75,S
0,3,male,27.8,0,0,18.33,S
0,3,male,31.7,0,0,41.47,S
0,3,male,35.1,2,0,33.36,S
0,3,male,19.3,0,0,10.41,S
0,3,male,43.1,0,0,15.16,S
0,3,male,20,0,0,13.45,S
1,1,female,38.7,0,1,69.94,S
0,3,male,41.7,0,0,32.9,S
0,3,male,41.3,1,0,11.06,S
0,3,male,27.5,0,0,10.85,S
1,1,female,20.7,1,0,109.95,C
0,3,male,30.8,0,2,9.75,S
0,3,male,32.7,0,0,15.86,S
0,3,male,43,2,0,39.37,S
0,3,male,30.9,0,0,20.75,S
0,3,male,36.5,1,0,26.61,S
1,1,female,28,0,0,43.63,S
1,2,female,31.8,0,0,28.36,S
0,3,male,18.9,0,0,22.38,Q
0,3,male,32.2,0,0,22.85,S
0,3,male,30.7,0,0,18.91,S
1,1,female,31.1,0,0,55.17,S
0,3,male,34.9,1,0,34.26,S
0,3,male,29.2,0,0,17.64,S
0,3,male,23.3,0,0,35.32,S
0,3,male,45.1,0,0,11.59,S
1,1,female,35.9,0,0,36.95,S
0,3,male,26.7,0,0,18.06,S
0,3,male,24.4,1,0,27.73,S
1,1,female,26.9,0,0,49.9,S
0,3,male,24.3,0,0,35.71,S
0,3,male,22.5,0,0,24.17,S
0,3,male,43.4,0,0,13.14,S
0,3,male,17.1,0,0,14.17,S
0,3,male,14.9,0,0,14.92,S
0,3,male,40.6,0,0,22.32,Q
0,3,male,42.3,0,0,14.64,S
0,3,male,50.3,0,0,10.42,S
0,3,male,47.1,1,0,10.56,S
0,3,male,41.1,0,0,20.22,S
0,3,male,29.1,0,0,15.52,S
0,3,male,41.6,0,0,10.43,Q
0,3,male,24.2,0,0,21.3,S
0,3,male,37.2,0,0,18,S
0,3,male,26.7,0,0,26.87,S
0,3,male,31,0,0,26.61,S
0,3,male,29.8,2,0,15.12,S
0,3,male,18.1,0,0,11.07,S
0,3,male,13.3,1,0,10.7,S
0,3,male,45,0,1,19.86,S
0,3,male,21.8,0,0,18.52,S
0,3,male,24.5,0,0,14.97,S
1,1,female,33.4,0,0,68.26,C
1,2,female,25.6,0,0,35.76,S
0,3,male,25.5,0,0,34.43,S
0,3,male,16.1,0,0,16.85,S
0,3,male,20.2,0,0,23.67,S
0,3,male,50.4,1,0,17.01,S
0,3,male,33.7,0,0,11.58,S
0,3,male,31.7,0,0,14.9,S
0,3,male,23,0,0,18.54,S
0,3,male,31.9,0,0,14.63,S
0,3,male,16.7,0,0,15.86,S
0,3,male,17.9,0,0,22.08,S
0,3,male,43.2,0,0,11.3,S
1,1,female,30.9,0,0,51.4,C
1,1,female,41.6,0,0,68.35,S
0,3,male,21.5,0,0,15.21,S
0,3,male,18.9,0,0,31.51,S
0,3,male,30.1,0,0,10.37,S
0,3,male,15,0,0,10.67,S
0,3,male,15.8,0,0,20.29,S
0,3,male,31.4,0,0,12.97,S
0,3,male,34,0,0,32.99,S
0,3,male,26.4,0,0,11.7,S
0,3,male,38.3,0,0,12.13,S
0,3,male,21.7,0,0,15.77,S
0,3,male,38.6,0,0,14.15,S
0,3,male,31.3,0,0,17.67,S
0,3,male,23.2,0,1,18.61,S
0,3,male,20.1,0,0,10.6,S
0,3,male,23.2,0,0,23.53,S
0,3,male,38.2,0,0,20.83,S
0,3,male,31,0,0,18.12,S
0,3,male,37.4,0,0,12.32,S
0,3,male,43.9,0,0,9.93,S
0,3,male,25.6,0,0,21.39,S
0,3,male,39.8,0,0,28.81,S
0,3,male,35.3,0,0,11.12,S
0,3,male,38.7,0,0,18.77,S
0,3,male,29.8,0,0,31.03,S
0,3,male,32.7,0,0,18.71,S
0,3,male,25.9,0,0,17.06,S
0,3,male,39.7,0,0,21.89,S
1,1,female,19.3,0,0,91.36,C
1,2,female,21.2,0,0,41.92,S
1,1,female,38.6,0,0,88.36,C
0,3,male,19.2,0,0,14.41,S
0,3,male,24.3,0,0,13.51,S
0,3,male,15.1,0,0,16.94,S
1,1,female,36.3,0,0,71.76,S
0,3,male,43.1,0,0,25.5,S
0,3,male,37.9,0,0,18.73,S
0,3,male,26,0,0,12.54,S
0,3,male,30.9,0,0,12.52,S
0,3,male,21.8,0,0,12.93,S
0,3,male,14.8,0,0,15.86,S
0,3,male,45.5,0,0,12.86,S
0,3,male,27.4,0,0,23.9,S
0,3,male,40.8,0,0,16.02,S
0,3,male,22,0,0,19.04,S
0,3,male,29.2,0,0,22.75,S
0,3,male,33.5,0,0,25.71,S
0,3,male,8.4,0,0,11.01,S
0,3,male,29.1,0,0,15.12,S
0,3,male,32.4,0,0,12.06,S
0,3,male,16.1,0,0,17.03,S
0,3,male,36.5,0,0,19.72,S
1,1,female,32.3,0,0,66.59,S
1,1,female,20.2,0,0,51.51,C
0,3,male,30.5,0,0,27.39,S
0,3,male,31,0,0,14.37,S
0,3,male,29,0,0,14.28,S
0,3,male,37.7,0,0,20.86,S
0,3,male,33.5,0,0,13.71,S
0,3,male,25.8,0,0,15.66,S
0,3,male,32.9,0,0,16.93,S
0,3,male,31.2,0,0,41.38,S
0,3,male,19.7,0,0,17.26,S
0,3,male,30.1,0,0,14.66,S
0,3,male,36.5,0,0,10.54,S
0,3,male,26.1,0,0,14.47,S
0,3,male,31.6,0,0,10.43,S
0,3,male,23.2,0,0,23.58,S
0,3,male,26,0,0,23.95,S
0,3,male,19.9,0,0,16.28,S
0,3,male,19.3,0,0,19.98,S
0,3,male,22.1,0,0,19.62,S
0,3,male,31,0,0,17.23,S
0,3,male,48.4,0,0,15.94,S
0,3,male,19.4,0,0,17.59,S
0,3,male,41.8,0,0,23.27,S
0,3,male,42.6,0,0,16.42,S
0,3,male,18.2,0,0,22.69,S
0,3,male,21.3,0,0,24.88,S
0,3,male,40.9,0,0,21.75,S
0,3,male,33.1,0,0,21.75,S
0,3,male,38.4,0,0,21.67,S
1,1,female,46.3,0,0,93.22,C
1,1,female,20.9,0,0,58.1,S
1,2,female,16.3,1,1,25.6,S
1,2,male,31.4,0,0,19.44,S
0,3,male,24.9,0,0,19.55,S
0,3,male,28.6,0,0,15.47,S
1,1,female,42.3,0,0,77.85,C
0,3,male,19.1,0,0,8.96,S
1,2,female,33.2,0,0,26.75,S
0,3,male,40.7,1,0,17.34,S
0,3,male,22.9,0,0,10.81,S
1,1,female,24.8,0,1,82.64,S
0,3,male,36.9,0,0,12.05,S
1,2,female,28.5,1,0,39.62,C
0,3,male,17.4,0,0,7.92,Q
