air_temp,clearsky_ghi,cloud_opacity,ghi,wind_speed_10m,zenith,period_end,period
14,659,0,659,0.7,50,2021-09-01T01:00:00+00:00,PT60M
17,728,0,728,1.2,45,2021-09-01T02:00:00+00:00,PT60M
19,732,0,732,1.7,45,2021-09-01T03:00:00+00:00,PT60M
20,673,0,673,1.9,49,2021-09-01T04:00:00+00:00,PT60M
20,556,0,556,2,56,2021-09-01T05:00:00+00:00,PT60M
20,390,0,390,1.9,66,2021-09-01T06:00:00+00:00,PT60M
19,196,0,196,1.9,77,2021-09-01T07:00:00+00:00,PT60M
17,28,16.1,27,1.6,88,2021-09-01T08:00:00+00:00,PT60M
16,0,12.8,0,0.9,100,2021-09-01T09:00:00+00:00,PT60M
13,0,0,0,1,113,2021-09-01T10:00:00+00:00,PT60M
9,0,0,0,1.7,125,2021-09-01T11:00:00+00:00,PT60M
7,0,0,0,2.2,136,2021-09-01T12:00:00+00:00,PT60M
6,0,0,0,2.2,146,2021-09-01T13:00:00+00:00,PT60M
5,0,0,0,1.9,152,2021-09-01T14:00:00+00:00,PT60M
5,0,0,0,1.6,152,2021-09-01T15:00:00+00:00,PT60M
4,0,0,0,1.4,147,2021-09-01T16:00:00+00:00,PT60M
3,0,0,0,1.5,137,2021-09-01T17:00:00+00:00,PT60M
3,0,0,0,1.6,126,2021-09-01T18:00:00+00:00,PT60M
3,0,0.5,0,1.7,114,2021-09-01T19:00:00+00:00,PT60M
2,0,1,0,1.7,102,2021-09-01T20:00:00+00:00,PT60M
3,19,0.1,19,1.5,90,2021-09-01T21:00:00+00:00,PT60M
6,178,0,178,1.7,78,2021-09-01T22:00:00+00:00,PT60M
10,378,0,378,1.6,67,2021-09-01T23:00:00+00:00,PT60M
13,552,0,552,1.6,57,2021-09-02T00:00:00+00:00,PT60M
15,678,0,678,2,49,2021-09-02T01:00:00+00:00,PT60M
17,744,0,744,2.5,45,2021-09-02T02:00:00+00:00,PT60M
19,745,0,745,2.9,44,2021-09-02T03:00:00+00:00,PT60M
20,681,0,681,3.4,48,2021-09-02T04:00:00+00:00,PT60M
20,560,3.6,542,3.7,56,2021-09-02T05:00:00+00:00,PT60M
20,392,10.1,349,3.3,65,2021-09-02T06:00:00+00:00,PT60M
19,197,0,197,2.5,76,2021-09-02T07:00:00+00:00,PT60M
16,29,0.2,29,2.2,88,2021-09-02T08:00:00+00:00,PT60M
14,0,7.8,0,2.3,100,2021-09-02T09:00:00+00:00,PT60M
13,0,0,0,2,112,2021-09-02T10:00:00+00:00,PT60M
12,0,0,0,2.1,124,2021-09-02T11:00:00+00:00,PT60M
11,0,0,0,2.2,136,2021-09-02T12:00:00+00:00,PT60M
11,0,0,0,1.9,146,2021-09-02T13:00:00+00:00,PT60M
11,0,0,0,1.7,152,2021-09-02T14:00:00+00:00,PT60M
11,0,0,0,1.9,152,2021-09-02T15:00:00+00:00,PT60M
11,0,0,0,2.2,146,2021-09-02T16:00:00+00:00,PT60M
10,0,0,0,2.5,137,2021-09-02T17:00:00+00:00,PT60M
10,0,0,0,2.4,126,2021-09-02T18:00:00+00:00,PT60M
10,0,8.9,0,2.5,114,2021-09-02T19:00:00+00:00,PT60M
10,0,51.1,0,2.7,102,2021-09-02T20:00:00+00:00,PT60M
11,18,64.3,12,2.4,89,2021-09-02T21:00:00+00:00,PT60M
12,169,1.6,167,1.8,78,2021-09-02T22:00:00+00:00,PT60M
14,362,0,362,1.5,67,2021-09-02T23:00:00+00:00,PT60M
15,533,0,533,2.3,57,2021-09-03T00:00:00+00:00,PT60M
16,658,3.8,633,3.6,49,2021-09-03T01:00:00+00:00,PT60M
17,725,3.5,699,4.5,44,2021-09-03T02:00:00+00:00,PT60M
18,729,23.6,558,4.8,44,2021-09-03T03:00:00+00:00,PT60M
19,670,33.4,445,4.8,48,2021-09-03T04:00:00+00:00,PT60M
18,551,30.7,385,4.5,56,2021-09-03T05:00:00+00:00,PT60M
18,386,20.9,298,4,65,2021-09-03T06:00:00+00:00,PT60M
17,194,23.3,149,3.4,76,2021-09-03T07:00:00+00:00,PT60M
16,29,12.1,25,2.8,88,2021-09-03T08:00:00+00:00,PT60M
15,0,32.5,0,2.6,100,2021-09-03T09:00:00+00:00,PT60M
14,0,35.7,0,2.7,112,2021-09-03T10:00:00+00:00,PT60M
13,0,0.9,0,2.7,124,2021-09-03T11:00:00+00:00,PT60M
12,0,0,0,2.7,136,2021-09-03T12:00:00+00:00,PT60M
11,0,0.5,0,2.6,145,2021-09-03T13:00:00+00:00,PT60M
10,0,0,0,2.6,151,2021-09-03T14:00:00+00:00,PT60M
9,0,5.7,0,2.4,152,2021-09-03T15:00:00+00:00,PT60M
9,0,51.5,0,2.3,146,2021-09-03T16:00:00+00:00,PT60M
10,0,58.2,0,2.4,137,2021-09-03T17:00:00+00:00,PT60M
11,0,79,0,2.5,125,2021-09-03T18:00:00+00:00,PT60M
11,0,91,0,2.6,114,2021-09-03T19:00:00+00:00,PT60M
11,0,93.5,0,3,101,2021-09-03T20:00:00+00:00,PT60M
11,19,93.2,2,3.6,89,2021-09-03T21:00:00+00:00,PT60M
11,167,79,35,3.9,77,2021-09-03T22:00:00+00:00,PT60M
11,357,85.3,51,4,66,2021-09-03T23:00:00+00:00,PT60M
11,522,90.1,51,4.1,56,2021-09-04T00:00:00+00:00,PT60M
12,643,90.4,62,4.2,48,2021-09-04T01:00:00+00:00,PT60M
11,707,90.5,67,4.7,44,2021-09-04T02:00:00+00:00,PT60M
11,712,93.1,49,4.7,44,2021-09-04T03:00:00+00:00,PT60M
11,654,91.6,54,4.6,48,2021-09-04T04:00:00+00:00,PT60M
11,539,90.9,49,4.8,55,2021-09-04T05:00:00+00:00,PT60M
11,378,82.8,64,4.8,65,2021-09-04T06:00:00+00:00,PT60M
11,189,77.8,41,4.7,76,2021-09-04T07:00:00+00:00,PT60M
11,28,69.1,7,4.5,88,2021-09-04T08:00:00+00:00,PT60M
11,0,75.9,0,4,100,2021-09-04T09:00:00+00:00,PT60M
11,0,79,0,3,112,2021-09-04T10:00:00+00:00,PT60M
10,0,73.9,0,1.9,124,2021-09-04T11:00:00+00:00,PT60M
10,0,74.8,0,1.5,135,2021-09-04T12:00:00+00:00,PT60M
10,0,65.9,0,1.3,145,2021-09-04T13:00:00+00:00,PT60M
9,0,55.8,0,1.6,151,2021-09-04T14:00:00+00:00,PT60M
9,0,55.9,0,2.2,151,2021-09-04T15:00:00+00:00,PT60M
9,0,37.8,0,3,146,2021-09-04T16:00:00+00:00,PT60M
8,0,39.9,0,3.8,136,2021-09-04T17:00:00+00:00,PT60M
8,0,35,0,4.8,125,2021-09-04T18:00:00+00:00,PT60M
7,0,4.4,0,5.5,113,2021-09-04T19:00:00+00:00,PT60M
6,0,0,0,5.7,101,2021-09-04T20:00:00+00:00,PT60M
6,24,31.1,15,5.5,89,2021-09-04T21:00:00+00:00,PT60M
6,191,27,141,4.6,77,2021-09-04T22:00:00+00:00,PT60M
7,392,19.1,314,4,66,2021-09-04T23:00:00+00:00,PT60M
8,565,10.9,501,4,56,2021-09-05T00:00:00+00:00,PT60M
9,690,40.1,409,4,48,2021-09-05T01:00:00+00:00,PT60M
9,753,80.8,144,4.2,44,2021-09-05T02:00:00+00:00,PT60M
8,751,72.8,203,4.2,43,2021-09-05T03:00:00+00:00,PT60M
9,687,90.2,68,3.8,48,2021-09-05T04:00:00+00:00,PT60M
9,569,81.9,100,3.7,55,2021-09-05T05:00:00+00:00,PT60M
9,403,31,271,3.7,65,2021-09-05T06:00:00+00:00,PT60M
9,208,9.4,183,3.8,76,2021-09-05T07:00:00+00:00,PT60M
8,34,1.1,33,3.8,88,2021-09-05T08:00:00+00:00,PT60M
7,0,12.5,0,3.6,100,2021-09-05T09:00:00+00:00,PT60M
6,0,2.5,0,3.5,112,2021-09-05T10:00:00+00:00,PT60M
6,0,7.9,0,3.6,124,2021-09-05T11:00:00+00:00,PT60M
5,0,0,0,3.4,135,2021-09-05T12:00:00+00:00,PT60M
4,0,0,0,3.1,145,2021-09-05T13:00:00+00:00,PT60M
4,0,0,0,3.1,151,2021-09-05T14:00:00+00:00,PT60M
3,0,0,0,3.2,151,2021-09-05T15:00:00+00:00,PT60M
3,0,0,0,3.3,145,2021-09-05T16:00:00+00:00,PT60M
3,0,0,0,3.3,136,2021-09-05T17:00:00+00:00,PT60M
3,0,0,0,3.4,125,2021-09-05T18:00:00+00:00,PT60M
3,0,0,0,3.4,113,2021-09-05T19:00:00+00:00,PT60M
4,0,11.2,0,3.3,101,2021-09-05T20:00:00+00:00,PT60M
4,27,1.3,27,3.1,89,2021-09-05T21:00:00+00:00,PT60M
6,200,0,200,2.6,77,2021-09-05T22:00:00+00:00,PT60M
8,405,0,405,2.5,66,2021-09-05T23:00:00+00:00,PT60M
9,585,0,585,3.2,56,2021-09-06T00:00:00+00:00,PT60M
11,716,0,716,3.7,48,2021-09-06T01:00:00+00:00,PT60M
12,783,0,783,3.9,43,2021-09-06T02:00:00+00:00,PT60M
14,783,0,783,3.9,43,2021-09-06T03:00:00+00:00,PT60M
14,718,0,718,3.8,47,2021-09-06T04:00:00+00:00,PT60M
15,595,0,595,3.9,55,2021-09-06T05:00:00+00:00,PT60M
15,424,0,424,3.6,65,2021-09-06T06:00:00+00:00,PT60M
14,222,0,222,2.6,76,2021-09-06T07:00:00+00:00,PT60M
11,38,2.9,38,2,88,2021-09-06T08:00:00+00:00,PT60M
7,0,6.8,0,1.9,100,2021-09-06T09:00:00+00:00,PT60M
5,0,0.3,0,1.9,112,2021-09-06T10:00:00+00:00,PT60M
